candidate_id,solver_kind,mean_policy,whitening_policy,stress,row_count,field_gain_to_huber_mean,h1_gain_to_huber_mean,field_harm_rate_vs_huber,worst_field_gain_to_huber,clean_reprojection_ratio_to_cgls_mean,clean_reprojection_ratio_to_cgls_maximum,minimum_family_mean_field_gain_to_huber,family_mean_field_gains_to_huber_json,exact_call_budget_all_rows
quadratic_data__mean_zero__unwhitened__l0,quadratic_measurement_pdhg_control,zero,unwhitened,sparse_flowon_outlier,12,-0.07157373243123098,-0.15977205932748598,1.0,-0.21449972415901458,1.0564178190265354,1.6834305645406789,-0.07561535501445478,"{""single_interface"":-0.06753210984800719,""smooth_no_interface"":-0.07561535501445478}",True
quadratic_data__mean_zero__unwhitened__l0p001,quadratic_measurement_pdhg_control,zero,unwhitened,nominal,12,-0.06335397394761538,-0.08521062486229668,1.0,-0.09206719579206137,4.236665861344619,8.3577166152059,-0.07747850336386593,"{""single_interface"":-0.049229444531364845,""smooth_no_interface"":-0.07747850336386593}",True
quadratic_data__mean_zero__unwhitened__l0p001,quadratic_measurement_pdhg_control,zero,unwhitened,sparse_flowon_outlier,12,-0.0632737060855469,-0.0851986139839997,1.0,-0.09243117197154518,3.469120044051623,5.879647765443395,-0.07743961246720278,"{""single_interface"":-0.04910779970389101,""smooth_no_interface"":-0.07743961246720278}",True
quadratic_data__mean_zero__unwhitened__l0p01,quadratic_measurement_pdhg_control,zero,unwhitened,nominal,12,-0.057616540895351065,-0.077379289645242,1.0,-0.08224067335999324,4.252257656375257,8.374280153087104,-0.07045121520636263,"{""single_interface"":-0.044781866584339504,""smooth_no_interface"":-0.07045121520636263}",True
quadratic_data__mean_zero__unwhitened__l0p01,quadratic_measurement_pdhg_control,zero,unwhitened,sparse_flowon_outlier,12,-0.05754218551767449,-0.07736590885579674,1.0,-0.08256769209553899,3.4817319622672454,5.891642342898544,-0.07041403165181981,"{""single_interface"":-0.04467033938352918,""smooth_no_interface"":-0.07041403165181981}",True
quadratic_data__mean_zero__unwhitened__l0p1,quadratic_measurement_pdhg_control,zero,unwhitened,nominal,12,-0.004306961911313949,-0.005585409494828744,0.25,-0.02468700266272669,4.452821936163283,8.609813739094472,-0.005172495992397218,"{""single_interface"":-0.0034414278302306815,""smooth_no_interface"":-0.005172495992397218}",True
quadratic_data__mean_zero__unwhitened__l0p1,quadratic_measurement_pdhg_control,zero,unwhitened,sparse_flowon_outlier,12,-0.00429411391005296,-0.005573141326262239,0.25,-0.02462711165607696,3.6438438395271464,6.059341722577148,-0.005154686333591378,"{""single_interface"":-0.0034335414865145405,""smooth_no_interface"":-0.005154686333591378}",True
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0,huber_measurement_pdhg,estimated,diagonal_flowoff,nominal,12,-0.17047437933448903,-0.2742199621108051,1.0,-0.7434703157039806,2.120773090055145,4.60014179985837,-0.2550364542578827,"{""single_interface"":-0.2550364542578827,""smooth_no_interface"":-0.08591230441109532}",True
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0,huber_measurement_pdhg,estimated,diagonal_flowoff,sparse_flowon_outlier,12,-0.17062345197530773,-0.27497708522313663,1.0,-0.7365786722442265,1.8110465016138468,3.4828128041487934,-0.25301653515038497,"{""single_interface"":-0.25301653515038497,""smooth_no_interface"":-0.08823036880023051}",True
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0p001,huber_measurement_pdhg,estimated,diagonal_flowoff,nominal,12,-0.16724441328622838,-0.26986234579386953,1.0,-0.7398649399219849,2.2465286201166506,4.826599300050937,-0.25264956395749744,"{""single_interface"":-0.25264956395749744,""smooth_no_interface"":-0.08183926261495929}",True
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0p001,huber_measurement_pdhg,estimated,diagonal_flowoff,sparse_flowon_outlier,12,-0.16756325915967304,-0.2708545742257677,1.0,-0.7331268170505947,1.9120611953373112,3.5247577018467267,-0.2508772570342099,"{""single_interface"":-0.2508772570342099,""smooth_no_interface"":-0.08424926128513617}",True
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0p01,huber_measurement_pdhg,estimated,diagonal_flowoff,nominal,12,-0.12609474286028907,-0.22397486944568581,1.0,-0.7166980139324516,2.1761502840047,4.690157225702428,-0.22314013568333377,"{""single_interface"":-0.22314013568333377,""smooth_no_interface"":-0.02904935003724436}",True
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0p01,huber_measurement_pdhg,estimated,diagonal_flowoff,sparse_flowon_outlier,12,-0.12661311861750812,-0.22516157005340173,1.0,-0.7100025883527193,1.8580283406845346,3.441869755694016,-0.22152958209036136,"{""single_interface"":-0.22152958209036136,""smooth_no_interface"":-0.03169665514465488}",True
robust_data__mean_estimated__diagonal_flowoff__d0p75__l0p1,huber_measurement_pdhg,estimated,diagonal_flowoff,nominal,12,0.1637431261124875,0.08473138547353716,0.08333333333333333,-0.5289963732311305,1.7301605089011112,3.6198621824552637,-0.004744824346040215,"{""single_interface"":-0.004744824346040215,""smooth_no_interface"":0.33223107657101525}",True
