mean_policy,whitening_policy,data_huber_delta_sigma_multiplier,standardized_edge_regularization_weight,stress,paired_case_count,field_gain_huber_data_to_quadratic_data_mean,field_gain_huber_data_to_quadratic_data_worst,h1_gain_huber_data_to_quadratic_data_mean,clean_reprojection_ratio_huber_data_to_quadratic_data_mean
zero,structured_flowoff,2.0,0.0,sparse_flowon_outlier,12,0.0017203734372751953,-0.000982562890277033,0.001992410675046325,1.0026326730508774
zero,structured_flowoff,2.0,0.001,nominal,12,0.001953900019199045,-0.0011725917912564715,0.0023191998437842583,1.0043314200073976
zero,structured_flowoff,2.0,0.001,sparse_flowon_outlier,12,0.0019272454215697994,-0.0009462050182077079,0.0022844659446488,1.0052863395582208
zero,structured_flowoff,2.0,0.01,nominal,12,0.00214713879033402,-0.0010407720797178473,0.0025226711530179865,1.0043163368380468
zero,structured_flowoff,2.0,0.01,sparse_flowon_outlier,12,0.002121671114519422,-0.0008102118779056883,0.002486117593381423,1.0053140439445356
zero,structured_flowoff,2.0,0.1,nominal,12,0.0036797684910145115,0.00039297059478136855,0.00395498469496042,0.9978671604017831
zero,structured_flowoff,2.0,0.1,sparse_flowon_outlier,12,0.0036686264518633292,0.0004067514191043184,0.003930918170148497,1.0000231432272648
zero,unwhitened,0.75,0.0,nominal,12,-0.1065668662745601,-0.3371071377582236,-0.13534806152559267,2.4052793902459144
zero,unwhitened,0.75,0.0,sparse_flowon_outlier,12,-0.10623013128849222,-0.3333272735782084,-0.134837717875584,2.098226107784582
zero,unwhitened,0.75,0.001,nominal,12,-0.20644497968029243,-0.2558900825772794,-0.37705723187034246,2.739400763916199
zero,unwhitened,0.75,0.001,sparse_flowon_outlier,12,-0.20662626080893218,-0.26531262064908673,-0.3779182696241143,2.701693281601356
zero,unwhitened,0.75,0.01,nominal,12,-0.20793158569112402,-0.2582546940841845,-0.3808059938005915,2.7201391870617058
zero,unwhitened,0.75,0.01,sparse_flowon_outlier,12,-0.2081084497940435,-0.26790503649929714,-0.38167886927920924,2.683182167083745
zero,unwhitened,0.75,0.1,nominal,12,-0.2213804535233853,-0.27847273858338106,-0.41578713611162743,2.5106038831988657
zero,unwhitened,0.75,0.1,sparse_flowon_outlier,12,-0.22152656854679428,-0.2899991363841013,-0.41679152257680513,2.480737366370216
zero,unwhitened,1.345,0.0,nominal,12,-0.10405590747419653,-0.3311361792413503,-0.1321855950348514,2.3638456660306093
zero,unwhitened,1.345,0.0,sparse_flowon_outlier,12,-0.10373753097394056,-0.32741751002149705,-0.13169705082422337,2.064819798110871
zero,unwhitened,1.345,0.001,nominal,12,-0.20063643436700704,-0.24795500289473704,-0.3700909139314978,2.6929211472562145
zero,unwhitened,1.345,0.001,sparse_flowon_outlier,12,-0.20078161885471255,-0.25542807912978394,-0.37090734713232737,2.6557630626961215
zero,unwhitened,1.345,0.01,nominal,12,-0.2020702460144613,-0.24977614341203205,-0.37377021435625374,2.673943266274803
zero,unwhitened,1.345,0.01,sparse_flowon_outlier,12,-0.20221460155930657,-0.2578880986497664,-0.37460187145019047,2.637556329649865
zero,unwhitened,1.345,0.1,nominal,12,-0.21498010953056226,-0.267307316837158,-0.40804985655462217,2.4674081938672368
zero,unwhitened,1.345,0.1,sparse_flowon_outlier,12,-0.21509800876580698,-0.2786207728414651,-0.4090123565006278,2.43801680833679
zero,unwhitened,2.0,0.0,nominal,12,-0.10138390029671668,-0.32473233478760477,-0.12881512292000039,2.3194797218117995
zero,unwhitened,2.0,0.0,sparse_flowon_outlier,12,-0.10108488611125789,-0.321079599233761,-0.12834963832701518,2.029093851736929
zero,unwhitened,2.0,0.001,nominal,12,-0.19443634195943604,-0.23950488394244382,-0.36261918920240577,2.642849659670015
zero,unwhitened,2.0,0.001,sparse_flowon_outlier,12,-0.1945567592424207,-0.24493701755235944,-0.3634082805617374,2.606371333604767
zero,unwhitened,2.0,0.01,nominal,12,-0.19580988012172482,-0.24123572626821482,-0.3662202343692415,2.624147045235208
zero,unwhitened,2.0,0.01,sparse_flowon_outlier,12,-0.19592994890051849,-0.24725559909652892,-0.3670231119545748,2.588426405032391
zero,unwhitened,2.0,0.1,nominal,12,-0.20814022170682736,-0.2564915750796257,-0.3997462759263171,2.420829524674223
zero,unwhitened,2.0,0.1,sparse_flowon_outlier,12,-0.2082359471361304,-0.2665710750413553,-0.4006735603350526,2.3919706624815587
