case_id,split,family,base_seed,method,model_seed,projection_iterations,paired_call_budget,truth_used_by_candidate,candidate_deployable,per_case_reprojection_ratio_limit,exact_camera_block_setup_forward_equivalents,reprojection_feasible,feasible_alpha_lower,feasible_alpha_upper,truth_oracle_alpha,field_relative_l2,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm
b68a57ff53cf5cbd1d8c,ood,two_interface,3181,jacru_m2,29,9,23,True,False,1.1,1001,0,,,,,,,,,,,
b68a57ff53cf5cbd1d8c,ood,two_interface,3181,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9975353230360472,1.0,0.9975353230360472,0.38713859094922737,0.694760879789455,0.0007213542492082501,0.01973589002781876,0.3589356528827233,0.2677231064922044,1.1000000000059214,0
0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9966187342302882,1.0,0.9966187342302882,0.33901665152827803,0.6393914106310873,0.0008493534535479032,0.0240220142509052,0.4139096369738019,0.3844852589676661,1.1000000000093526,0
0b247ca300bd186b2aa8,ood,smooth_no_interface,3191,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9970528822390616,1.0,0.9970528822390616,0.33904151926179493,0.6394172663585015,0.0006835838365930023,0.023991204600128123,0.41076692416719857,0.38518810585071195,1.099999999986208,0
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,9,23,True,False,1.1,1001,1,0.991902063939544,1.0,1.0,0.36243894642156105,0.6436061424719095,0.0006912909841865273,0.019526808010705183,0.42586057626284657,0.3760856862855355,0.42408303464098,0
2aa10b47cf2ae3da6dfc,ood,single_interface,3191,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9936882516683606,1.0,1.0,0.3624652818945547,0.6436719519538763,0.0003389368686056931,0.0194933484074397,0.4258648702196867,0.37626956021133606,0.2736863138857056,0
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9950998246404653,1.0,0.9950998246404653,0.4799720891810953,0.8277905753098594,0.0020380666943517894,0.021414682850312835,0.20002413761266855,0.16105790816117244,1.1000000000000705,0
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,10,24,True,False,1.1,1001,1,0.994998393467591,1.0,0.994998393467591,0.4799487656235119,0.8276903968304552,0.0016425820168328338,0.02134218180142263,0.19518551588097985,0.16150447683765914,1.0999999999986358,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9980213350784036,1.0,0.9980213350784036,0.26019715260060583,0.5366755235579879,0.0005750030610635064,0.019145646753160904,0.5381488511754894,0.46267167466591635,1.1000000000177041,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9977119452775041,1.0,0.9977119452775041,0.2601352838207643,0.5365745323278138,0.0004528803057328263,0.019123790150521684,0.5351680442604115,0.4625806462323738,1.099999999999373,0
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9941789988620479,1.0,0.9941789988620479,0.39623079295652147,0.722270115944589,0.0013468376435997655,0.025053044981257933,0.4075222210475936,0.32079612298955007,1.100000000002245,0
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9957376763141679,1.0,0.9957376763141679,0.39629868114657224,0.7224568979009726,0.001047361002736851,0.02507713226625098,0.40529016719285266,0.321461675370295,1.1000000000084114,0
b06a75091983ab395677,development,smooth_no_interface,2113,jacru_m2,43,9,23,True,False,1.1,1001,0,,,,,,,,,,,
b06a75091983ab395677,development,smooth_no_interface,2113,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9984847781986038,1.0,0.9984847781986038,0.26677839631385936,0.5381173804732486,0.0004276403649971701,0.01809121372384581,0.5127296266740363,0.4396994138353767,1.1000000000450907,0
423593699e2b6baeef3f,development,single_interface,2113,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9891529530186776,1.0,0.9891529530186776,0.7562967509942421,1.0781543698696017,0.002536328985082206,0.015310814636296566,-0.05719024138241909,-0.00474238497612826,1.1000000000004548,1
423593699e2b6baeef3f,development,single_interface,2113,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9903490252159595,1.0,0.9903490252159595,0.7565810439339887,1.0785863751600455,0.002138416350519442,0.015130567943785792,-0.05873087384974625,-0.0035066294685632345,1.1000000000013714,1
5639798ee009ab4df707,development,smooth_no_interface,2129,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9977793469730001,1.0,0.9977793469730001,0.2660662538005367,0.5806739044796655,0.0008501128407534712,0.024664807100921553,0.5301676843253113,0.4315560537867056,1.0999999999992291,0
5639798ee009ab4df707,development,smooth_no_interface,2129,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9976055795165603,1.0,0.9976055795165603,0.2660033703712322,0.5806336456041786,0.0007101726642624608,0.024729634476825187,0.5269632659160413,0.4316110690392588,1.0999999999926662,0
9f862d87f3c25fedf3e1,development,single_interface,2129,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9964316088591934,1.0,0.9964316088591934,0.48727157337078036,0.8173339069278757,0.0015484060044069089,0.018524122103143997,0.2798746892793465,0.2150912521024766,1.1000000000095913,0
9f862d87f3c25fedf3e1,development,single_interface,2129,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9968688238165081,1.0,0.9968688238165081,0.4872460014602314,0.8174059160951671,0.0012628245382166516,0.018522726740152377,0.27747218559429254,0.21613612489234557,1.1000000000073609,0
17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9987980817885337,1.0,0.9987980817885337,0.2995553229259679,0.5903033617109256,0.0003720679076144612,0.01580135461470595,0.4971115095857793,0.41523518099116047,1.1000000000323815,0
