policy,base_seed,family,mismatch_severity,selected_correction,fallback_used,reported_geometry_field_relative_l2,selected_field_relative_l2,field_gain_percent,selected_weighted_lcb,effective_camera_count
uniform_heuristic_lcb,211,shock_expansion_pair,2.0,1.5,False,0.6972087605335413,0.6447287452040992,7.527159482230491,1.6161855875100606e-05,5.999999999999999
uniform_heuristic_lcb,307,smooth_plume,0.0,0.0,True,0.6857219524369543,0.6857219524369543,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,wrinkled_density_interface,0.0,0.0,True,0.6359586984952307,0.6359586984952307,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,shock_expansion_pair,0.0,0.0,True,0.6654776142738124,0.6654776142738124,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,smooth_plume,0.5,0.0,True,0.7119388755127151,0.7119388755127151,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,wrinkled_density_interface,0.5,0.0,True,0.6444583675636819,0.6444583675636819,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,shock_expansion_pair,0.5,0.0,True,0.6708123545414086,0.6708123545414086,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,smooth_plume,1.0,0.0,True,0.7545286929195707,0.7545286929195707,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,wrinkled_density_interface,1.0,0.0,True,0.6585879659103594,0.6585879659103594,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,shock_expansion_pair,1.0,0.0,True,0.6778664146881345,0.6778664146881345,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,307,smooth_plume,2.0,1.5,False,0.8488336675010058,0.7121309312066298,16.10477311730969,0.001978959675020906,5.999999999999999
uniform_heuristic_lcb,307,wrinkled_density_interface,2.0,1.5,False,0.7034148028500332,0.6445027800281957,8.375146866847702,0.001978959675020906,5.999999999999999
uniform_heuristic_lcb,307,shock_expansion_pair,2.0,1.5,False,0.7081653177943622,0.6708366707806538,5.271176952010512,0.001978959675020906,5.999999999999999
uniform_heuristic_lcb,401,smooth_plume,0.0,0.0,True,0.5363030060846542,0.5363030060846542,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,401,wrinkled_density_interface,0.0,0.0,True,0.7314049954666972,0.7314049954666972,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,401,shock_expansion_pair,0.0,0.0,True,0.6400704980190834,0.6400704980190834,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,401,smooth_plume,0.5,0.0,True,0.5616114838581756,0.5616114838581756,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,401,wrinkled_density_interface,0.5,0.0,True,0.7565318924974527,0.7565318924974527,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,401,shock_expansion_pair,0.5,0.0,True,0.6562688432536677,0.6562688432536677,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,401,smooth_plume,1.0,0.5,False,0.604607366114732,0.561626367189286,7.108910895619115,0.0007917226885776531,5.999999999999999
uniform_heuristic_lcb,401,wrinkled_density_interface,1.0,0.5,False,0.7962834361167285,0.7565561350088507,4.989090480346764,0.0007917226885776531,5.999999999999999
uniform_heuristic_lcb,401,shock_expansion_pair,1.0,0.5,False,0.6786064952497747,0.6562730533229988,3.291073999896747,0.0007917226885776531,5.999999999999999
uniform_heuristic_lcb,401,smooth_plume,2.0,2.0,False,0.7068123514999479,0.536352849023161,24.11665587267251,0.00950661915392062,5.999999999999999
