base_seed,family,mismatch_severity,correction_candidate,residual_amplitude,loco_score,field_relative_l2
211,wrinkled_density_interface,2.0,1.0,1.0,0.17321463024433306,0.6999757683701939
211,wrinkled_density_interface,2.0,1.5,0.5,0.15571512557046696,0.6843333530210277
211,wrinkled_density_interface,2.0,2.0,0.0,0.15283183907502604,0.6642851429304135
211,wrinkled_density_interface,2.0,2.5,-0.5,0.16697531274380603,0.6608473259754595
211,shock_expansion_pair,2.0,-0.5,2.5,0.1636419134318452,0.7155245831458817
211,shock_expansion_pair,2.0,0.0,2.0,0.15412449472793868,0.6972087605335413
211,shock_expansion_pair,2.0,0.5,1.5,0.14480549840824022,0.6789103254594684
211,shock_expansion_pair,2.0,1.0,1.0,0.13640848525131247,0.6619570551537619
211,shock_expansion_pair,2.0,1.5,0.5,0.12984430881120404,0.6447287452040992
211,shock_expansion_pair,2.0,2.0,0.0,0.12979251608644457,0.6367357170683654
211,shock_expansion_pair,2.0,2.5,-0.5,0.13547273686856814,0.6307574442710125
307,smooth_plume,0.0,-0.5,0.5,0.07805037478129868,0.7118622198489266
307,smooth_plume,0.0,0.0,0.0,0.07272955778445557,0.6857219524369543
307,smooth_plume,0.0,0.5,-0.5,0.07750712134726152,0.6876332701297179
307,smooth_plume,0.0,1.0,-1.0,0.0944077076483193,0.7297004516869315
307,smooth_plume,0.0,1.5,-1.5,0.11799350762785436,0.7923016831956746
307,smooth_plume,0.0,2.0,-2.0,0.1424161956704404,0.8542167756613126
307,smooth_plume,0.0,2.5,-2.5,0.16923404881821344,0.9083260655423435
307,wrinkled_density_interface,0.0,-0.5,0.5,0.102073952803701,0.6444406355752448
307,wrinkled_density_interface,0.0,0.0,0.0,0.10367538485362511,0.6359586984952307
307,wrinkled_density_interface,0.0,0.5,-0.5,0.11154320911383164,0.6347535199533594
307,wrinkled_density_interface,0.0,1.0,-1.0,0.12525857916655223,0.6629043778276229
307,wrinkled_density_interface,0.0,1.5,-1.5,0.14391593744088402,0.7189639606248024
307,wrinkled_density_interface,0.0,2.0,-2.0,0.1640715900994332,0.7576122964466228
307,wrinkled_density_interface,0.0,2.5,-2.5,0.1895903610869396,0.7661422450905008
307,shock_expansion_pair,0.0,-0.5,0.5,0.10711332481457497,0.6708026416519566
307,shock_expansion_pair,0.0,0.0,0.0,0.10731174367697859,0.6654776142738124
307,shock_expansion_pair,0.0,0.5,-0.5,0.11152776941721347,0.6665128563489554
307,shock_expansion_pair,0.0,1.0,-1.0,0.12010952195535084,0.6840049269378194
307,shock_expansion_pair,0.0,1.5,-1.5,0.13365109263186628,0.7152856175464634
307,shock_expansion_pair,0.0,2.0,-2.0,0.14353021109290204,0.724184757213434
307,shock_expansion_pair,0.0,2.5,-2.5,0.15557977744429455,0.7189808895353159
307,smooth_plume,0.5,-0.5,1.0,0.09147010771855575,0.7544146190450837
307,smooth_plume,0.5,0.0,0.5,0.07805267108439108,0.7119388755127151
307,smooth_plume,0.5,0.5,0.0,0.07273138127727591,0.6857792629431724
307,smooth_plume,0.5,1.0,-0.5,0.07750938925905287,0.6876961116240983
307,smooth_plume,0.5,1.5,-1.0,0.09441095753058719,0.7297834187554783
307,smooth_plume,0.5,2.0,-1.5,0.11799797145704828,0.7924049678615495
307,smooth_plume,0.5,2.5,-2.0,0.14242102922765318,0.8543312588062834
307,wrinkled_density_interface,0.5,-0.5,1.0,0.1065120203205837,0.6585581779168225
307,wrinkled_density_interface,0.5,0.0,0.5,0.10207344659471858,0.6444583675636819
307,wrinkled_density_interface,0.5,0.5,0.0,0.10367564437170422,0.6359724430408171
307,wrinkled_density_interface,0.5,1.0,-0.5,0.11154381631592665,0.634769945878705
307,wrinkled_density_interface,0.5,1.5,-1.0,0.12526037861477496,0.6629483842395256
307,wrinkled_density_interface,0.5,2.0,-1.5,0.1439216382284708,0.7190553631469621
307,wrinkled_density_interface,0.5,2.5,-2.0,0.16407860496453208,0.7577135502543254
307,shock_expansion_pair,0.5,-0.5,1.0,0.11101764042684302,0.6778511054958225
307,shock_expansion_pair,0.5,0.0,0.5,0.10711355374324442,0.6708123545414086
307,shock_expansion_pair,0.5,0.5,0.0,0.10731199945144665,0.665485616105507
307,shock_expansion_pair,0.5,1.0,-0.5,0.1115284798583863,0.6665232901308948
307,shock_expansion_pair,0.5,1.5,-1.0,0.1201113614158223,0.6840289075920919
307,shock_expansion_pair,0.5,2.0,-1.5,0.1336564690396231,0.7153341543925746
307,shock_expansion_pair,0.5,2.5,-2.0,0.14353451283637636,0.7242270849725269
307,smooth_plume,1.0,-0.5,1.5,0.10974701431628676,0.8015704596880932
307,smooth_plume,1.0,0.0,1.0,0.09147535777636252,0.7545286929195707
307,smooth_plume,1.0,0.5,0.5,0.07805524571607499,0.7120247437361926
307,smooth_plume,1.0,1.0,0.0,0.07273342527816205,0.6858434669815798
307,smooth_plume,1.0,1.5,-0.5,0.07751193041414335,0.6877665157326652
307,smooth_plume,1.0,2.0,-1.0,0.09441459494166705,0.7298763100206789
307,smooth_plume,1.0,2.5,-1.5,0.11800296554741785,0.792520565058236
307,wrinkled_density_interface,1.0,-0.5,1.5,0.11566736299767232,0.6782723764075695
307,wrinkled_density_interface,1.0,0.0,1.0,0.1065115596298567,0.6585879659103594
