stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,activation,dot_defect_max
in_class,4,8,channel_gate,0.00044713852494709,0.9999994275580459,0.0010778323469220364,8,,
in_class,4,8,full_srco,0.0008464275282874304,0.9999978270821342,0.00209619310571477,8,,
in_class,4,8,df_gated_srco,0.00044713852494709,0.9999994275580459,0.0010778323469220364,8,0.0,2.565482829203894e-13
in_class,4,16,nominal,0.09604015391560872,0.9781589880500966,0.21118122022738078,16,,
in_class,4,16,secant,0.08156431099440904,0.9845523124619304,0.17634621760944652,16,,
in_class,4,16,channel_gate,0.00031136138492389296,0.9999997780978451,0.0006773187873988639,16,,
in_class,4,16,full_srco,0.0011783303866072235,0.9999964182298409,0.002747358979136665,16,,
in_class,4,16,df_gated_srco,0.00031191024639286075,0.9999997766793751,0.0006807066182393131,16,0.011237903985676923,7.93227359383799e-15
in_class,4,32,nominal,0.09604015391560872,0.9765182999812272,0.22055634595681656,32,,
in_class,4,32,secant,0.06816263452454314,0.9887668799993387,0.15451671152827134,32,,
in_class,4,32,channel_gate,0.00014859092485456228,0.9999999433839522,0.000342379617183284,32,,
in_class,4,32,full_srco,0.001921429003604255,0.9999913987141614,0.004222304205058147,32,,
in_class,4,32,df_gated_srco,0.00014987709025455302,0.9999999436937038,0.00034262041851764716,32,0.012503140661435763,3.5103396096843876e-15
in_class,5,4,nominal,0.09819917736373343,0.9734592139958405,0.2340803735573442,4,,
in_class,5,4,secant,0.09486881336009756,0.9746375154393279,0.23327608422703497,4,,
in_class,5,4,channel_gate,0.0005188719233030383,0.9999993230340494,0.00118535065489586,4,,
in_class,5,4,full_srco,0.0007282414908340339,0.9999988345716324,0.0015855322065102143,4,,
in_class,5,4,df_gated_srco,0.0005188402259267118,0.9999993237726978,0.001185306933565318,4,0.005586302819908795,7.594574142388173e-14
in_class,5,8,nominal,0.09819917736373343,0.9726204395454009,0.23670333171111418,8,,
in_class,5,8,secant,0.09082278161270753,0.9770984049819061,0.2170599908937519,8,,
in_class,5,8,channel_gate,0.0003757040918586228,0.9999996857311392,0.000828486748729331,8,,
in_class,5,8,full_srco,0.0008724904108744442,0.9999984227990315,0.0018001999669445003,8,,
in_class,5,8,df_gated_srco,0.0003781595944564549,0.9999996854428115,0.0008230489710792186,8,0.0484562225503441,3.0245903011831214e-15
in_class,5,16,nominal,0.09819917736373343,0.9744250854836896,0.22820911034569835,16,,
in_class,5,16,secant,0.08311698365278683,0.9810192352985947,0.19964165521881966,16,,
in_class,5,16,channel_gate,0.00022917937735590229,0.9999998552308877,0.0005400946864370272,16,,
in_class,5,16,full_srco,0.001106683369746519,0.999997181425266,0.0023833932473163117,16,,
in_class,5,16,df_gated_srco,0.00022954020101164578,0.9999998526186947,0.00054497861883839,16,0.011632857357017468,3.079235124229295e-14
in_class,5,32,nominal,0.09819917736373343,0.9750641949575505,0.225818128553395,32,,
in_class,5,32,secant,0.06755962834717902,0.9890194298075725,0.15313831330403746,32,,
in_class,5,32,channel_gate,0.0001689725381285976,0.9999999232583014,0.00039722626694447416,32,,
in_class,5,32,full_srco,0.001977091114044012,0.9999914101251502,0.004159914937228918,32,,
in_class,5,32,df_gated_srco,0.00016899304003116766,0.9999999232281438,0.00039726625625806605,32,0.000699849584970047,2.4182600004845684e-15
in_class,6,4,nominal,0.09360529209531457,0.9777489973057625,0.21763644454033418,4,,
in_class,6,4,secant,0.09025802364072437,0.9788480238460415,0.21519805037367745,4,,
in_class,6,4,channel_gate,0.0004394883559466671,0.9999994700881707,0.0010523308503920842,4,,
