geometry_id,partition,source_index,sample_seed,source_split,family_id,noise_level,field_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2
g_010011111,geometry_ood,164,30360825,val,0,0.02,0.3493139147758484,0.32208674478768706,0.34519997717450157
g_010011111,geometry_ood,165,30360826,val,0,0.05,0.37204036116600037,0.3471539250286434,0.36366451825912227
g_010011111,geometry_ood,166,30360827,val,1,0.02,0.3337521553039551,0.20710277180375486,0.5056460383884871
g_010011111,geometry_ood,167,30360828,val,1,0.05,0.4414306581020355,0.25656761057895,0.6674830583531096
g_010011111,geometry_ood,168,30360829,val,1,0.02,0.34508877992630005,0.22365360361834394,0.5478105686097594
g_010011111,geometry_ood,169,30360830,val,1,0.05,0.33669498562812805,0.263831166909933,0.39280789878144706
g_010011111,geometry_ood,170,30360831,val,1,0.02,0.343337744474411,0.2647667219720232,0.5611460473132106
g_010011111,geometry_ood,171,30360832,val,1,0.05,0.3251255452632904,0.24104213392613674,0.5297542997246443
g_010011111,geometry_ood,172,30360833,val,0,0.02,0.41404032707214355,0.37393921608146513,0.4939260864764261
g_010011111,geometry_ood,173,30360834,val,0,0.05,0.4483238756656647,0.4133197650871342,0.4760536664550388
g_010011111,geometry_ood,174,30360835,val,0,0.02,0.34735339879989624,0.32003309023246285,0.36152982071360934
g_010011111,geometry_ood,175,30360836,val,0,0.05,0.3955026865005493,0.36827341643645206,0.39752892144485713
g_010011111,geometry_ood,176,30360837,val,0,0.02,0.32499077916145325,0.2842449957270457,0.38530407370041325
g_010011111,geometry_ood,177,30360838,val,0,0.05,0.395365834236145,0.3689924731785288,0.41196030332420774
g_010011111,geometry_ood,178,30360839,val,1,0.02,0.28822535276412964,0.2381025942943433,0.4007244497128301
g_010011111,geometry_ood,179,30360840,val,1,0.05,0.3899848461151123,0.25417395793454467,0.6039578683118977
g_010011111,geometry_ood,180,30360841,val,1,0.02,0.3995327949523926,0.26709881737953767,0.6113691790724428
g_010011111,geometry_ood,181,30360842,val,1,0.05,0.3959515690803528,0.2638022663858073,0.6676571688541255
g_010011111,geometry_ood,182,30360843,val,1,0.02,0.3315814435482025,0.24597333190160164,0.42371206073434425
g_010011111,geometry_ood,183,30360844,val,1,0.05,0.3438437581062317,0.24873830608210873,0.5517337572662828
g_010011111,geometry_ood,184,30360845,val,0,0.02,0.3206869065761566,0.2746398050230223,0.30917583775322416
g_010011111,geometry_ood,185,30360846,val,0,0.05,0.3185850977897644,0.2839995939608899,0.40230491218204556
g_010011111,geometry_ood,186,30360847,val,0,0.02,0.30675435066223145,0.2737633853213432,0.3478622475427737
g_010011111,geometry_ood,187,30360848,val,0,0.05,0.3437102735042572,0.32007911027126856,0.3300507509831822
g_010011111,geometry_ood,188,30360849,val,0,0.02,0.35407310724258423,0.3212029150518027,0.36735430533453184
g_010011111,geometry_ood,189,30360850,val,0,0.05,0.3481532633304596,0.31431884366551943,0.3483014905869692
g_010011111,geometry_ood,190,30360851,val,1,0.02,0.32825028896331787,0.2081117349394673,0.32393561529744697
g_010011111,geometry_ood,191,30360852,val,1,0.05,0.4173227846622467,0.2822246711581025,0.5782425982453896
g_010011111,geometry_ood,192,30360853,val,1,0.02,0.3273937404155731,0.23393343955811616,0.5910557859181846
g_010011111,geometry_ood,193,30360854,val,1,0.05,0.30685144662857056,0.22550028367434624,0.4138613906365359
g_010011111,geometry_ood,194,30360855,val,1,0.02,0.33866432309150696,0.22707977238503366,0.5193473007571554
g_010011111,geometry_ood,195,30360856,val,1,0.05,0.3221299350261688,0.2425713498542734,0.48093443099010563
g_010011111,geometry_ood,196,30360857,val,0,0.02,0.3927704095840454,0.36202783772687847,0.40454224994900556
g_010011111,geometry_ood,197,30360858,val,0,0.05,0.29794633388519287,0.2633065753050726,0.315179229849497
g_010011111,geometry_ood,198,30360859,val,0,0.02,0.35140538215637207,0.3214337672229339,0.3598502692532235
g_010011111,geometry_ood,199,30360860,val,0,0.05,0.3570626974105835,0.3179700508129544,0.36257624489860196
g_011001111,train,160,30360821,val,0,0.02,0.39706191420555115,0.3695495456908024,0.4064998507323488
g_011001111,train,161,30360822,val,0,0.05,0.4623928666114807,0.4315813260668605,0.4532138864273461
g_011001111,train,162,30360823,val,0,0.02,0.3817300498485565,0.342096327472412,0.45983263729597834
g_011001111,train,163,30360824,val,0,0.05,0.36380505561828613,0.3236728050554345,0.44816816174493596
g_011001111,train,164,30360825,val,0,0.02,0.3872816264629364,0.3544103732269193,0.427374335114492
