experiment,label,seed,split,input_variant,parameters,epochs_ran,best_epoch,best_val_rel_l2,train_seconds,gate_alpha_mean,gate_alpha_std,rel_l2_mean,gradient_rel_l2_mean,observed_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean,mass_relative_error_mean,centroid_error_mean
learned_observable_gate,Learned observable gate,20260711,test_iid,observable_quality,43428,30,30,0.260932520031929,5.997343083028682,0.795991837978363,0.017292195931077003,0.22176555581390858,0.37796174362301826,0.188461259752512,0.2521918460726738,0.10524818673729897,0.030543860210048596
learned_observable_gate,Learned observable gate,20260711,test_view_ood,observable_quality,43428,30,30,0.260932520031929,5.997343083028682,0.8314826488494873,0.009486193768680096,0.4759539645165205,0.7014350332319736,0.5234509352594614,0.4972036127001047,0.05865475386963226,0.0333476452764009
learned_observable_gate,Learned observable gate,20260711,test_noise_ood,observable_quality,43428,30,30,0.260932520031929,5.997343083028682,0.7518899440765381,0.014161934144794941,0.2505778609775007,0.42935523483902216,0.21928224246948957,0.28315284941345453,0.09464362048311159,0.03935345734609501
learned_observable_gate,Learned observable gate,20260711,test_joint_ood,observable_quality,43428,30,30,0.260932520031929,5.997343083028682,0.794107973575592,0.0014077883679419756,0.46212985925376415,0.6890516337007284,0.4559471942484379,0.5058457851409912,0.06542781677853782,0.05491199245388308
learned_observable_gate,Learned observable gate,20260711,test_family_ood,observable_quality,43428,30,30,0.260932520031929,5.997343083028682,0.7933527827262878,0.0166912954300642,0.6686748653650284,0.8756353974342346,0.5183146163821221,0.6704282224178314,0.06230287867365405,0.029130074937690764
learned_observable_gate,Learned observable gate,20260712,test_iid,observable_quality,43428,30,30,0.2523961514234543,6.2846163749927655,0.6543992757797241,0.03153179585933685,0.21798763237893581,0.37255065366625784,0.17875711284577847,0.2541269313544035,0.11357886991463602,0.03011751837454828
learned_observable_gate,Learned observable gate,20260712,test_view_ood,observable_quality,43428,30,30,0.2523961514234543,6.2846163749927655,0.6057510375976562,0.012408538721501827,0.4700520671904087,0.6704630218446255,0.4280540104955435,0.5185834057629108,0.13617315073497593,0.051822130563620575
learned_observable_gate,Learned observable gate,20260712,test_noise_ood,observable_quality,43428,30,30,0.2523961514234543,6.2846163749927655,0.5951801538467407,0.02755335159599781,0.2502759606577456,0.4304790189489722,0.21426073322072625,0.2986075021326542,0.058439833715965506,0.030491520241147888
learned_observable_gate,Learned observable gate,20260712,test_joint_ood,observable_quality,43428,30,30,0.2523961514234543,6.2846163749927655,0.553703784942627,0.01990722492337227,0.4569098427891731,0.6473478507250547,0.40274456329643726,0.5010540820658207,0.11477735103107989,0.07301341058457156
learned_observable_gate,Learned observable gate,20260712,test_family_ood,observable_quality,43428,30,30,0.2523961514234543,6.2846163749927655,0.5826505422592163,0.013053958304226398,0.6747350364923477,0.8709398001432419,0.5326849594712257,0.6702533960342407,0.1024780252831988,0.03911440407797776
