feature_index,kernel_index,depth_offset,y_offset,x_offset,coefficient
9,24,1,1,-1,-3.4133780818097685e-05
9,25,1,1,0,0.0005211967949617285
9,26,1,1,1,0.00046754165100848
10,0,-1,-1,-1,-0.0009727084231189612
10,1,-1,-1,0,0.0006467360075594128
10,2,-1,-1,1,-0.0005291720570875697
10,3,-1,0,-1,-0.00023385995625291515
10,4,-1,0,0,-0.0007689156219045631
10,5,-1,0,1,0.0007029727331540114
10,6,-1,1,-1,0.0005620735387239849
10,7,-1,1,0,-0.00030926888024217165
10,8,-1,1,1,0.00043790088872198545
10,9,0,-1,-1,-3.9640869858841614e-05
10,10,0,-1,0,-0.00014227605554565287
10,11,0,-1,1,-8.662790632131221e-05
10,12,0,0,-1,-7.163790930759337e-05
10,13,0,0,0,-0.00021880384773635168
10,14,0,0,1,0.00013143817756350196
10,15,0,1,-1,8.773595117194893e-05
10,16,0,1,0,0.00013696413195876222
10,17,0,1,1,-6.629437889665054e-05
10,18,1,-1,-1,0.001015813750574445
10,19,1,-1,0,-0.0003661064630165825
10,20,1,-1,1,0.0006890560794842528
10,21,1,0,-1,-8.737747679316086e-05
10,22,1,0,0,0.00019439177323589456
10,23,1,0,1,-0.0011462461878601338
10,24,1,1,-1,-0.0008464251181375103
10,25,1,1,0,-0.0005748880806904907
10,26,1,1,1,-0.0004583923638184309
11,0,-1,-1,-1,7.989451877924594e-05
11,1,-1,-1,0,0.0004056675926114674
11,2,-1,-1,1,-0.0009922039546079627
11,3,-1,0,-1,0.0007602044354940199
11,4,-1,0,0,0.0007732750141395898
11,5,-1,0,1,-0.00021764336871453165
