field_uid,rig_id,family,reserved_view,source_gain_vs_pbb9,reserved_gain_vs_pbb9,target_gain_vs_pbb9
fresh-budget-rig-c:triple_jet_merger:10,fresh-budget-rig-c,triple_jet_merger,3,-0.026469570861011427,-0.014389047660201104,-0.05715767526860116
fresh-budget-rig-c:triple_jet_merger:11,fresh-budget-rig-c,triple_jet_merger,3,-0.00900121508890872,0.0008155840113384105,-0.017318941736071736
fresh-budget-rig-c:triple_jet_merger:12,fresh-budget-rig-c,triple_jet_merger,3,-0.004155288189855444,-0.03326370580846816,-0.0003855136309787177
fresh-budget-rig-c:triple_jet_merger:13,fresh-budget-rig-c,triple_jet_merger,3,-0.011179641220775194,-0.024306388693082326,-0.04532426057449057
fresh-budget-rig-c:triple_jet_merger:14,fresh-budget-rig-c,triple_jet_merger,3,-0.017511078332542063,-0.02484317805101055,-0.014788991793257988
fresh-budget-rig-c:triple_jet_merger:15,fresh-budget-rig-c,triple_jet_merger,3,-0.013564280356686664,-0.06409030829341633,-0.027406481587881837
fresh-budget-rig-c:triple_jet_merger:16,fresh-budget-rig-c,triple_jet_merger,3,-0.009811266838819943,-0.03829844146790595,-0.020014581534247178
fresh-budget-rig-c:triple_jet_merger:17,fresh-budget-rig-c,triple_jet_merger,3,-0.007266234194996279,0.003916490453038324,-0.013744150814367195
fresh-budget-rig-c:triple_jet_merger:18,fresh-budget-rig-c,triple_jet_merger,3,-0.012972770338460338,0.0013931566892814162,0.06910559614818124
fresh-budget-rig-c:triple_jet_merger:19,fresh-budget-rig-c,triple_jet_merger,3,-0.019727088376465085,-0.05362444317400117,-0.03277730598952244
fresh-budget-rig-c:tilted_flame_brush:0,fresh-budget-rig-c,tilted_flame_brush,3,-0.00021612691745942492,0.13055504098668547,0.1342414801000983
fresh-budget-rig-c:tilted_flame_brush:1,fresh-budget-rig-c,tilted_flame_brush,3,0.0012923738801576823,0.15399379098928856,0.1644202221025468
fresh-budget-rig-c:tilted_flame_brush:2,fresh-budget-rig-c,tilted_flame_brush,3,-0.018976830733441252,0.12247182848875904,0.1293382037180274
fresh-budget-rig-c:tilted_flame_brush:3,fresh-budget-rig-c,tilted_flame_brush,3,-0.005133884760530449,0.10611912389435352,0.12405248955880754
fresh-budget-rig-c:tilted_flame_brush:4,fresh-budget-rig-c,tilted_flame_brush,3,-0.010590750052002607,0.16565199831604538,0.15836964825562772
fresh-budget-rig-c:tilted_flame_brush:5,fresh-budget-rig-c,tilted_flame_brush,3,-0.011232977787143827,0.10752706235077769,0.12208226570644476
fresh-budget-rig-c:tilted_flame_brush:6,fresh-budget-rig-c,tilted_flame_brush,3,-0.008383781349102337,0.09799924891398626,0.1064469181920682
