base_seed,ridge_alpha,camera_subset,estimated_raw_logdet,estimated_regularized_profile_logdet,estimated_raw_rank,estimated_regularized_profile_rank,teacher_raw_logdet,teacher_regularized_profile_logdet,teacher_data_only_relative_rank,teacher_raw_rank,teacher_regularized_profile_rank,field_operator_rank,field_operator_row_count,dual_svd_relative_difference
101,0.002,1;4;5,31.49904571940263,11.06069334346453,5,5,27.93581301035919,8.907871528443994,0,5,5,150,150,2.1325468702346698e-14
101,0.002,2;3;4,29.997925580738897,4.393937586654226,5,5,26.819129672280027,0.4101790150365464,0,5,5,150,150,6.886080511916963e-15
101,0.002,2;3;5,30.8554277142647,5.43293277644342,5,5,26.186162250657066,0.5398809747914839,0,5,5,150,150,4.6348802227560426e-15
101,0.002,2;4;5,31.236568154847674,4.282994269961803,5,5,27.55344534483754,0.08691116382188291,0,5,5,150,150,3.930908606219317e-15
101,0.002,3;4;5,30.719486170077335,4.139675309936725,5,5,26.748194149836582,-0.0013192693551064005,0,5,5,150,150,3.4449864622968484e-15
101,0.01,0;1;2,30.43979241253289,11.520167437683623,5,5,26.709152756672804,7.181447533550855,0,5,5,150,150,2.4611450282301056e-15
101,0.01,0;1;3,29.353632051694127,17.18470880380375,5,5,25.088026753898614,12.906975248550502,0,5,5,150,150,8.659122281028117e-15
101,0.01,0;1;4,30.03945127485258,17.313735066229704,5,5,26.851759072450232,14.272249614147182,0,5,5,150,150,1.5991893509856192e-14
101,0.01,0;1;5,31.033139323840977,11.760630381970522,5,5,26.454842230326932,7.156068575962607,0,5,5,150,150,3.576159748881183e-15
101,0.01,0;2;3,29.368076688192225,17.3593200193553,5,5,25.218365127340064,13.40166064328611,0,5,5,150,150,1.0415538238811572e-14
101,0.01,0;2;4,29.781851542168784,9.156552825547028,5,5,26.69649511988065,4.255507908306045,0,5,5,150,150,1.3820247811176519e-15
101,0.01,0;2;5,30.789852269493593,12.353427195819991,5,5,26.060816895027653,7.151211553762417,0,5,5,150,150,2.915290961544914e-15
101,0.01,0;3;4,28.724296842884037,17.153964180906076,5,5,24.999854737889795,12.964764420337197,0,5,5,150,150,4.5467540579429805e-15
101,0.01,0;3;5,30.065787024954147,17.4807916695664,5,5,24.902823360344264,13.40929740448449,0,5,5,150,150,1.2285699317301919e-14
101,0.01,0;4;5,30.631042683027964,10.521306960924662,5,5,26.661324503095365,5.48907166695399,0,5,5,150,150,1.3447739715377727e-15
101,0.01,1;2;3,30.555531344889232,11.355167160902107,5,5,26.86185488400493,6.959524656712002,0,5,5,150,150,2.240360825496877e-15
101,0.01,1;2;4,30.883169211310467,17.24396292411098,5,5,27.996606760526777,15.006654593530019,0,5,5,150,150,1.1397679357460491e-14
101,0.01,1;2;5,31.60841510904886,12.228503214929713,5,5,27.42318449626284,7.619558188122072,0,5,5,150,150,5.327009199940724e-15
101,0.01,1;3;4,30.182650448933572,17.198370986570033,5,5,26.977403335282716,13.966287284165995,0,5,5,150,150,1.3753029767952928e-14
101,0.01,1;3;5,31.079428804617237,9.969113140392533,5,5,26.60043442336628,5.322286904117077,0,5,5,150,150,2.1180142883639915e-15
101,0.01,1;4;5,31.49904571940263,17.2345085556084,5,5,27.93581301035919,14.91399442451775,0,5,5,150,150,7.783284274186817e-15
101,0.01,2;3;4,29.997925580738897,11.723682068649552,5,5,26.819129672280027,7.77316346841921,0,5,5,150,150,2.3594069534384877e-15
101,0.01,2;3;5,30.8554277142647,12.764571770394305,5,5,26.186162250657066,7.9126961968807725,0,5,5,150,150,4.698830862914156e-15
101,0.01,2;4;5,31.236568154847674,11.808232092680209,5,5,27.55344534483754,7.575498315281994,0,5,5,150,150,1.6769872181465798e-15
101,0.01,3;4;5,30.719486170077335,11.546659462291466,5,5,26.748194149836582,7.463194797248489,0,5,5,150,150,1.5898705986591444e-15
101,1.0,0;1;2,30.43979241253289,26.8215376954275,5,5,26.709152756672804,22.823576937129985,0,5,5,150,150,1.099375245098689e-15
101,1.0,0;1;3,29.353632051694127,26.242255555807684,5,5,25.088026753898614,21.852672001139332,0,5,5,150,150,8.99925970125304e-16
101,1.0,0;1;4,30.03945127485258,27.329606062187658,5,5,26.851759072450232,24.10949481338208,0,5,5,150,150,1.0808529968148408e-15
101,1.0,0;1;5,31.033139323840977,27.159017905361146,5,5,26.454842230326932,22.494674041459913,0,5,5,150,150,5.008978367993621e-16
101,1.0,0;2;3,29.368076688192225,26.525612138436912,5,5,25.218365127340064,22.2178525474427,0,5,5,150,150,6.492645394113609e-16
101,1.0,0;2;4,29.781851542168784,25.63615307576873,5,5,26.69649511988065,22.096121817796835,0,5,5,150,150,1.161142343468501e-15
101,1.0,0;2;5,30.789852269493593,27.02028007595921,5,5,26.060816895027653,22.14619604535926,0,5,5,150,150,7.651726593772997e-16
101,1.0,0;3;4,28.724296842884037,25.94848061658479,5,5,24.999854737889795,21.880181596238586,0,5,5,150,150,6.832879174174492e-16
101,1.0,0;3;5,30.065787024954147,26.82437567260272,5,5,24.902823360344264,21.97056398947835,0,5,5,150,150,1.068958311942468e-15
101,1.0,0;4;5,30.631042683027964,26.63482547322813,5,5,26.661324503095365,22.405475635475476,0,5,5,150,150,7.183346729550278e-16
