design_id,seed,method,rank,noise_level,view_count,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
d-fast_v-9_n-0.28_s-20260716,20260716,lowrank,5,0.28,9,fast,0.20099004195071757,0.01028579194098711,0.29932303829299756,0.08959428125295127,0.2995644689294397,0.9441492795978829,0.3071419973162241,0.6522031960758999,0.9125727897785874,0.9852663161948555,0.051287881415905845,0.1254458669576431,0.23357715725841274
d-fast_v-9_n-0.28_s-20260716,20260716,lowrank,8,0.28,9,fast,0.20099004195071757,0.004603500012308359,0.3113026977973659,0.09690936965591813,0.3112241764957577,0.9394426409318694,0.3353809748608344,0.777694534194408,1.1907780217512685,1.0704937695326837,0.052516874395931425,0.13086348104448772,0.2602368530247385
d-fast_v-9_n-0.28_s-20260717,20260717,framewise,0,0.28,9,fast,0.2413125829771161,0.0,0.3338945305227227,0.11148555751298941,0.3339874043995282,0.9299930824389154,0.38830878417442904,0.9926518932860405,1.6115054665532489,1.2271283840079774,0.05756477866807344,0.14203919516339117,0.2960960418437392
d-fast_v-9_n-0.28_s-20260717,20260717,lowrank,1,0.28,9,fast,0.2413125829771161,0.009503333014436066,0.3575560345619548,0.1278463178516698,0.35598610612385195,0.9192709129740492,0.17720042259620178,0.8005160254851591,0.9020426517202516,0.6227779762310519,0.05050760022098969,0.12548430399007113,0.3371958467414103
d-fast_v-9_n-0.28_s-20260717,20260717,lowrank,2,0.28,9,fast,0.2413125829771161,0.0038696660194545984,0.30337466708620536,0.09203618862966592,0.3031311622985418,0.942580732631037,0.2435533988130049,0.6668980526641831,0.8553793200883382,0.7831195342907193,0.05134273369464232,0.13136452709774804,0.21909483115022127
d-fast_v-9_n-0.28_s-20260717,20260717,lowrank,3,0.28,9,fast,0.2413125829771161,0.024042708915658295,0.29454025431471675,0.086753961411778,0.294630716843147,0.9459704728194305,0.27564342979736084,0.5933975289349881,0.7588855257047956,0.8850183978090873,0.05244591565364904,0.1321906357121065,0.21713489706282696
d-fast_v-9_n-0.28_s-20260717,20260717,lowrank,5,0.28,9,fast,0.2413125829771161,0.0060244170017540455,0.29863303815906395,0.08918169148011293,0.29859095924877915,0.944414047299099,0.30700582689487227,0.6578629416809696,0.9085274922907904,0.9840383942390011,0.05310076145456929,0.1266562126174223,0.22629070147037295
d-fast_v-9_n-0.28_s-20260717,20260717,lowrank,8,0.28,9,fast,0.2413125829771161,0.009070250089280307,0.3114887702700068,0.09702525400432108,0.3110442817362077,0.9393678894346369,0.3371997539190808,0.7922272536217737,1.2058723729921714,1.077031720126124,0.054680995722534584,0.132875627005171,0.2610658291552644
d-fast_v-9_n-0.42_s-20260710,20260710,framewise,0,0.42,9,fast,0.2534248339943588,0.0,0.3869464074684322,0.14972752225272595,0.38732689377047036,0.904732274799037,0.4778512449215101,1.3128193562627064,2.185198486211265,1.4759303901289196,0.06853104534687979,0.1609113343416274,0.3890815038347123
d-fast_v-9_n-0.42_s-20260710,20260710,lowrank,1,0.42,9,fast,0.2534248339943588,0.029093375080265105,0.3645948736309776,0.1329294218779885,0.36344650538006695,0.9159140992490136,0.17917656241324653,0.8096036749573496,0.9113728729127714,0.624675064773656,0.05432038551353731,0.1281907180119335,0.3433774591136426
d-fast_v-9_n-0.42_s-20260710,20260710,lowrank,2,0.42,9,fast,0.2534248339943588,0.005975374951958656,0.31572928530525673,0.09968498159936821,0.3153352677633934,0.9376505872999962,0.24793323432021072,0.6882259307594089,0.8700775950234113,0.7932575904216581,0.056263228216423516,0.1354318203300707,0.2415849285045589
d-fast_v-9_n-0.42_s-20260710,20260710,lowrank,3,0.42,9,fast,0.2534248339943588,0.006338834064081311,0.3130248874045877,0.09798458013465482,0.31308034053969197,0.9387488450478947,0.2898892057965523,0.6699629306767219,0.8573593083047277,0.9271612637539424,0.05712842033042918,0.1378763603160337,0.2484714580959508
d-fast_v-9_n-0.42_s-20260710,20260710,lowrank,5,0.42,9,fast,0.2534248339943588,0.004208749975077808,0.3261726165409879,0.10638857578119432,0.3261142998482284,0.9333082697858285,0.3332505848054546,0.7890869720714437,1.0550833184391197,1.0587624739241754,0.06102678373630171,0.13782464155441596,0.2873986632303971
d-fast_v-9_n-0.42_s-20260710,20260710,lowrank,8,0.42,9,fast,0.2534248339943588,0.005245500011369586,0.34711598590118936,0.1204895076681547,0.3469331663613543,0.9241076571196946,0.38890033417523473,1.008377895839444,1.5537250229664954,1.2263463361496822,0.06334271198527597,0.14730699753233992,0.33881424281493255
d-fast_v-9_n-0.42_s-20260711,20260711,framewise,0,0.42,9,fast,0.19046020798850805,0.0,0.386837676198437,0.1496433877266068,0.38733443466845896,0.9047886241279063,0.47146295606080446,1.2966455382612294,2.150513843405695,1.4571820508400561,0.06135040560577721,0.16182631897804964,0.38131208342602774
d-fast_v-9_n-0.42_s-20260711,20260711,lowrank,1,0.42,9,fast,0.19046020798850805,0.008470542030408978,0.3654629628866418,0.13356317724188294,0.3642930999151996,0.915494712748647,0.17869542778412262,0.8098341973152964,0.909218070290407,0.631375123758105,0.04906350754256293,0.12993509924842914,0.3460642458585732
d-fast_v-9_n-0.42_s-20260711,20260711,lowrank,2,0.42,9,fast,0.19046020798850805,0.02253666694741696,0.3168030401894529,0.10036416627328008,0.31650763613130883,0.9372115548352278,0.24923749084214447,0.6892424644347319,0.869527942339074,0.7971819396377443,0.050217804532591045,0.13743647072127668,0.24186483152088667
d-fast_v-9_n-0.42_s-20260711,20260711,lowrank,3,0.42,9,fast,0.19046020798850805,0.003418250009417534,0.31481756181195253,0.09911009722522256,0.31474062016471005,0.9380220383261093,0.2902276055184364,0.676447714629422,0.8609982694961161,0.9299678486681708,0.05186625497072427,0.14032892644510137,0.2559607440060139
d-fast_v-9_n-0.42_s-20260711,20260711,lowrank,5,0.42,9,fast,0.19046020798850805,0.009707625024020672,0.32746141016147,0.1072309751449385,0.32748836643582124,0.932761167753117,0.3303455839964305,0.8104680690378444,1.1259718744026153,1.0585621957858913,0.054015881061618816,0.14169183140665728,0.28752330177970203
d-fast_v-9_n-0.42_s-20260711,20260711,lowrank,8,0.42,9,fast,0.19046020798850805,0.0030841249972581863,0.3472602158603249,0.12058965751935945,0.3467996182959837,0.9240419834514906,0.3708879286004629,0.9637011633285122,1.459666831777991,1.1805712669776018,0.05665026003724337,0.14756407372325006,0.326127964683405
d-fast_v-9_n-0.42_s-20260712,20260712,framewise,0,0.42,9,fast,0.20143920904956758,0.0,0.38536292282074364,0.1485045822849464,0.3856610049773435,0.9055509972479423,0.47785869636470674,1.3227660311769565,2.21084402223479,1.4790261881130347,0.06211161488620935,0.16125776542870704,0.3763023480730772
d-fast_v-9_n-0.42_s-20260712,20260712,lowrank,1,0.42,9,fast,0.20143920904956758,0.004279457964003086,0.36319230848605,0.13190865294342607,0.3619571435414129,0.9165891878586531,0.17418522215394067,0.809450950204141,0.9103773147045152,0.6374151236996368,0.04864279253022577,0.12820870427755093,0.34615567829177907
d-fast_v-9_n-0.42_s-20260712,20260712,lowrank,2,0.42,9,fast,0.20143920904956758,0.004960707970894873,0.3142028871029935,0.09872345426385647,0.31380706041092477,0.9382717778960449,0.24735608263425,0.6896890054749342,0.872187925043692,0.7986301952310265,0.04981385850118119,0.13624276158323065,0.24276742664237944
