case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,high256_to_high512_output_relative_l2,matched_residual_256_to_512_relative_l2,output_convergence_gate_met,matched_residual_convergence_gate_met
wrinkled-s2718-orientation_58-narrow,3.0,True,wrinkled-s2718-orientation_58-narrow__stress_3,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,narrow,2.5324937852844173e-05,0.002781314382045963,True,True
wrinkled-s2718-orientation_58-narrow,10.0,True,wrinkled-s2718-orientation_58-narrow__stress_10,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,narrow,2.505534695907632e-05,0.0024103922552227053,True,True
wrinkled-s2718-orientation_58-wide,1.0,True,wrinkled-s2718-orientation_58-wide__stress_1,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,wide,3.606233007982866e-05,0.0044058126701335765,True,True
wrinkled-s2718-orientation_58-wide,3.0,True,wrinkled-s2718-orientation_58-wide__stress_3,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,wide,3.607724037674691e-05,0.004433948166287522,True,True
wrinkled-s2718-orientation_58-wide,10.0,True,wrinkled-s2718-orientation_58-wide__stress_10,wrinkled-s2718,wrinkled-s2718,wrinkled,orientation_58,wide,3.760262723143284e-05,0.0041081202744626235,True,True
wrinkled-s2851-orientation_22-narrow,1.0,True,wrinkled-s2851-orientation_22-narrow__stress_1,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,narrow,4.8501658660480095e-05,0.003036008994814401,True,True
wrinkled-s2851-orientation_22-narrow,3.0,True,wrinkled-s2851-orientation_22-narrow__stress_3,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,narrow,4.8016445097262265e-05,0.002860662009273695,True,True
wrinkled-s2851-orientation_22-narrow,10.0,True,wrinkled-s2851-orientation_22-narrow__stress_10,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,narrow,4.642800887254441e-05,0.002355476116922045,True,True
wrinkled-s2851-orientation_22-wide,1.0,True,wrinkled-s2851-orientation_22-wide__stress_1,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,wide,4.9014961609663786e-05,0.0030827427594710523,True,True
wrinkled-s2851-orientation_22-wide,3.0,True,wrinkled-s2851-orientation_22-wide__stress_3,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,wide,4.8839584279399634e-05,0.0029857674735653114,True,True
wrinkled-s2851-orientation_22-wide,10.0,True,wrinkled-s2851-orientation_22-wide__stress_10,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_22,wide,4.78166331779649e-05,0.0025712704344915517,True,True
wrinkled-s2851-orientation_58-narrow,1.0,True,wrinkled-s2851-orientation_58-narrow__stress_1,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,narrow,1.6116458433961612e-05,0.002398693723494693,True,True
wrinkled-s2851-orientation_58-narrow,3.0,True,wrinkled-s2851-orientation_58-narrow__stress_3,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,narrow,1.6392817577949137e-05,0.0018612627825775367,True,True
wrinkled-s2851-orientation_58-narrow,10.0,True,wrinkled-s2851-orientation_58-narrow__stress_10,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,narrow,2.4515992932699615e-05,0.0024422195346703976,True,True
wrinkled-s2851-orientation_58-wide,1.0,True,wrinkled-s2851-orientation_58-wide__stress_1,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,wide,2.465009837647442e-05,0.003709885839964487,True,True
wrinkled-s2851-orientation_58-wide,3.0,True,wrinkled-s2851-orientation_58-wide__stress_3,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,wide,2.5370338867820122e-05,0.003645820198324557,True,True
wrinkled-s2851-orientation_58-wide,10.0,True,wrinkled-s2851-orientation_58-wide__stress_10,wrinkled-s2851,wrinkled-s2851,wrinkled,orientation_58,wide,3.069578942056466e-05,0.0025633030049050333,True,True
wrinkled-s3001-orientation_22-narrow,1.0,True,wrinkled-s3001-orientation_22-narrow__stress_1,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,narrow,2.8811464127901184e-05,0.001587948350633466,True,True
wrinkled-s3001-orientation_22-narrow,3.0,True,wrinkled-s3001-orientation_22-narrow__stress_3,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,narrow,2.8584453313383392e-05,0.0015309788885836308,True,True
wrinkled-s3001-orientation_22-narrow,10.0,True,wrinkled-s3001-orientation_22-narrow__stress_10,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,narrow,2.750999117285853e-05,0.0012956887622352553,True,True
wrinkled-s3001-orientation_22-wide,1.0,True,wrinkled-s3001-orientation_22-wide__stress_1,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,wide,3.039617030134222e-05,0.0014934062138837806,True,True
wrinkled-s3001-orientation_22-wide,3.0,True,wrinkled-s3001-orientation_22-wide__stress_3,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,wide,3.016958051279928e-05,0.0014416637733978119,True,True
wrinkled-s3001-orientation_22-wide,10.0,True,wrinkled-s3001-orientation_22-wide__stress_10,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,wide,2.9412364651686592e-05,0.0012835359206093205,True,True
wrinkled-s3001-orientation_58-narrow,1.0,True,wrinkled-s3001-orientation_58-narrow__stress_1,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,narrow,5.752312925875538e-06,0.0018862899872353,True,True
wrinkled-s3001-orientation_58-narrow,3.0,True,wrinkled-s3001-orientation_58-narrow__stress_3,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,narrow,6.119530265789689e-06,0.0019141285388026923,True,True
wrinkled-s3001-orientation_58-narrow,10.0,True,wrinkled-s3001-orientation_58-narrow__stress_10,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,narrow,1.7955611919318666e-05,0.002153666790683376,True,True
wrinkled-s3001-orientation_58-wide,1.0,True,wrinkled-s3001-orientation_58-wide__stress_1,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,wide,1.582685899392455e-05,0.0058367979612066485,True,True
wrinkled-s3001-orientation_58-wide,3.0,True,wrinkled-s3001-orientation_58-wide__stress_3,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,wide,1.6738127860857286e-05,0.005586301210271295,True,True
wrinkled-s3001-orientation_58-wide,10.0,True,wrinkled-s3001-orientation_58-wide__stress_10,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,wide,1.581803884405073e-05,0.0024072061559282354,True,True
wrinkled-s3163-orientation_22-narrow,1.0,False,wrinkled-s3163-orientation_22-narrow__stress_1,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,narrow,0.00010175687668826566,0.003545064253670954,False,True
wrinkled-s3163-orientation_22-narrow,3.0,False,wrinkled-s3163-orientation_22-narrow__stress_3,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,narrow,0.00010174234953041593,0.003535503187683701,False,True
wrinkled-s3163-orientation_22-narrow,10.0,False,wrinkled-s3163-orientation_22-narrow__stress_10,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,narrow,0.00010165907275362833,0.0034891278080390734,False,True
wrinkled-s3163-orientation_22-wide,1.0,False,wrinkled-s3163-orientation_22-wide__stress_1,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,wide,0.00010227267830848639,0.005150586144282906,False,True
wrinkled-s3163-orientation_22-wide,3.0,False,wrinkled-s3163-orientation_22-wide__stress_3,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,wide,0.00010219376540130873,0.005133001127777844,False,True
wrinkled-s3163-orientation_22-wide,10.0,False,wrinkled-s3163-orientation_22-wide__stress_10,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,wide,0.00010190044486604908,0.005048363016300402,False,True
wrinkled-s3163-orientation_58-narrow,1.0,True,wrinkled-s3163-orientation_58-narrow__stress_1,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,narrow,1.03307376102863e-05,0.004646539118025063,True,True
wrinkled-s3163-orientation_58-narrow,3.0,True,wrinkled-s3163-orientation_58-narrow__stress_3,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,narrow,1.0857579205406359e-05,0.004792732520474603,True,True
wrinkled-s3163-orientation_58-narrow,10.0,True,wrinkled-s3163-orientation_58-narrow__stress_10,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,narrow,1.4382734390806236e-05,0.004631344278581993,True,True
wrinkled-s3163-orientation_58-wide,1.0,True,wrinkled-s3163-orientation_58-wide__stress_1,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,wide,2.1964968303905982e-05,0.0071728587234883385,True,True
wrinkled-s3163-orientation_58-wide,3.0,True,wrinkled-s3163-orientation_58-wide__stress_3,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,wide,2.2931279387512286e-05,0.007246386005487211,True,True
wrinkled-s3163-orientation_58-wide,10.0,True,wrinkled-s3163-orientation_58-wide__stress_10,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,wide,2.50275528642443e-05,0.007081753973525125,True,True
