cluster_id,family,field_harm_over_two_percent_replicate_rate,gradient_harm_over_two_percent_replicate_rate,maximum_active_residual_ratio,maximum_heldout_b_ratio,mean_active_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_ratio,replicate_count,split,worst_replicate_field_gain_percent,worst_replicate_gradient_gain_percent
lockbox_joint_ood-cluster-002,thin_front,0.0,0.0,1.0666568387076751,0.96578446664685,1.0441569012760712,3.572343799906185,3.7019977409923053,7.041673048702725,0.9383953320965106,4,lockbox_joint_ood,2.3163477913940853,5.324420286661003
lockbox_joint_ood-cluster-003,double_front,0.0,0.0,1.0341899066444704,0.9721924810308792,1.0248428949686401,3.9396397019538987,4.677582876726258,8.313415987451059,0.9337365730732313,4,lockbox_joint_ood,2.575066500672369,6.5515098099408595
lockbox_joint_ood-cluster-004,thin_front,0.0,0.0,1.1145497801278827,0.9338944108154894,1.0705185410627376,5.116865293599523,3.2967866850057694,9.062814897458026,0.9153835706556388,4,lockbox_joint_ood,4.475387654308212,8.287167677151407
lockbox_joint_ood-cluster-005,double_front,0.0,0.0,1.051478051693279,0.9553470469750156,1.0249815899146801,3.6150166462698183,6.497304273870235,8.912822753126626,0.939144932704679,4,lockbox_joint_ood,2.5131103949484097,7.084128519515829
lockbox_joint_ood-cluster-006,thin_front,0.0,0.0,1.0379320024696175,0.9686557733147155,1.0243496453453793,3.628012339467357,2.542586357950972,7.612150673863839,0.9448805157352105,4,lockbox_joint_ood,2.916888009507203,6.547296824626274
lockbox_joint_ood-cluster-007,double_front,0.0,0.0,1.1030110684070098,0.9029774414595187,1.0721341388936532,4.539817427870113,6.253075627101785,10.871801961191494,0.8871173530663901,4,lockbox_joint_ood,4.042789781270008,10.138617976878777
lockbox_joint_ood-cluster-008,thin_front,0.0,0.0,1.0740215293833666,0.9681499880723975,1.0433216533429328,5.041106802948022,2.6770042328621426,9.323665041839323,0.9218072035128805,4,lockbox_joint_ood,2.6966762404204885,6.43194865021521
lockbox_joint_ood-cluster-009,double_front,0.0,0.0,1.0595302234726585,0.9482622091440216,1.0501951130289813,3.0189538333783243,5.164991500917188,9.21608884469854,0.9201838387795421,4,lockbox_joint_ood,2.033982805132996,7.423446361915589
lockbox_joint_ood-cluster-010,thin_front,0.0,0.0,1.08485786360842,0.9583004876645775,1.0555679469907977,3.639353775123918,3.0360579040796036,6.581648563642576,0.9444408513873291,4,lockbox_joint_ood,3.019794449658808,5.972849290726637
lockbox_joint_ood-cluster-011,double_front,0.0,0.0,1.055437321371197,0.9240212938518492,1.0261066559715175,4.543745921722191,5.196088217524053,9.150398503419606,0.9051495230493928,4,lockbox_joint_ood,3.910329929846676,7.974237233108989
lockbox_joint_ood-cluster-012,thin_front,0.0,0.0,1.0768413770532377,0.9389797647879203,1.0398399176197408,4.796709792930309,2.5930352722324983,8.38320411291017,0.9252037173627015,4,lockbox_joint_ood,3.43157361542989,6.771055530177754
lockbox_joint_ood-cluster-013,double_front,0.0,0.0,1.027711395359891,0.9620195453641461,1.01921650352684,2.6623857508402207,4.118973172392375,7.440519569655865,0.9430703325120268,4,lockbox_joint_ood,2.183082859380001,6.688243772940491
